rid,disease_cui,symptom_cui
1820,C0152091,C0581323
1256,C0152097,C0232082
1821,C0152097,C0232083
2127,C0152097,C0521532
84,C0152110,C0423707
963,C0152110,C0030193
656,C0152134,C0029089
2128,C0152135,C0029089
1257,C0152163,C0037763
367,C0152164,C0152165
1533,C0152167,C0426649
1822,C0152172,C0002962
2129,C0152172,C0030193
1823,C0152197,C0339693
368,C0152216,C0423075
2130,C0152216,C1578670
1824,C0152226,C0155204
1825,C0152227,C3257803
1826,C0152227,C1536289
85,C0152230,C0406407
1258,C0152230,C0406406
86,C0152251,C0041834
369,C0152251,C0302310
87,C0152437,C0577570
1534,C0152457,C0339257
370,C0152522,C0011991
1259,C0153024,C0030193
88,C0153136,C0240920
1260,C0154232,C0423178
657,C0154678,C0004158
964,C0154678,C0393588
89,C0154685,C0270777
1261,C0154702,C0375224
1827,C0154703,C0751409
658,C0154706,C0234363
965,C0154706,C0234544
1262,C0154706,C0085620
1828,C0154706,C0231668
659,C0154723,C0018681
1829,C0154728,C0025287
966,C0154731,C0030193
90,C0154739,C0344306
1830,C0154739,C0423713
660,C0154753,C0423709
1535,C0154830,C1319541
2131,C0154830,C1319542
2132,C0154836,C0423386
967,C0154840,C0149793
371,C0155006,C0563608
661,C0155006,C0233763
1536,C0155006,C0547030
1537,C0155006,C0424071
1831,C0155006,C0424072
372,C0155089,C0391860
662,C0155093,C0474344
1832,C0155104,C0271276
663,C0155170,C0577560
1263,C0155171,C1828308
1538,C0155171,C1828409
373,C0155186,C0560024
968,C0155186,C0278225
91,C0155358,C1562724
664,C0155358,C0235980
1833,C0155359,C0339205
1539,C0155402,C0576837
1540,C0155502,C0585542
969,C0155503,C0042571
2133,C0155503,C0234757
92,C0155527,C0577585
374,C0155527,C0577561
665,C0155527,C0522347
1541,C0155527,C0522348
93,C0155796,C0341961
1542,C0155796,C0585958
2134,C0155803,C0425665
375,C0155825,C0242429
1264,C0155872,C0235568
1543,C0155872,C0264345
970,C0155895,C0333240
1265,C0155919,C0333240
94,C0155936,C0239739
95,C0155959,C0577565
1266,C0155965,C2939427
376,C0156084,C0426576
971,C0156098,C0267633
1544,C0156173,C0473131
2135,C0156297,C0392071
666,C0156325,C0425791
1267,C0156325,C0567494
1268,C0156325,C0233390
1545,C0156325,C0567493
1834,C0156325,C0233389
377,C0156344,C0030193
1546,C0156345,C0030193
96,C0156346,C0030193
1269,C0156347,C0030193
667,C0156348,C0030193
1835,C0156383,C0278053
2136,C0156407,C0232968
972,C0156678,C0036572
668,C0156697,C0042963
973,C0157669,C0558161
1547,C0157729,C0263634
669,C0157731,C0423813
670,C0157731,C1277673
974,C0157731,C0221261
975,C0157731,C0263538
976,C0157731,C0574925
1270,C0157731,C0423818
1548,C0157731,C0263531
1549,C0157731,C0277952
1550,C0157731,C0423812
1836,C0157731,C0038605
1837,C0157731,C0263534
1838,C0157731,C0263540
1839,C0157731,C0423823
671,C0157735,C0686766
977,C0157735,C0686765
978,C0158053,C0231753
97,C0158225,C0574992
98,C0158227,C0576137
1271,C0158228,C0575000
1840,C0158231,C0231654
1841,C0158231,C0574987
1842,C0158232,C0574988
1551,C0158233,C0574989
672,C0158234,C0574993
1843,C0158281,C0231612
99,C0158292,C0423686
979,C0158292,C0458232
980,C0158292,C0574994
1844,C0158292,C0575018
2137,C0158292,C0175848
981,C0158296,C0009193
100,C0158298,C0575012
1552,C0158298,C0423683
1553,C0158319,C0025587
673,C0158326,C0575045
982,C0158326,C0575047
2138,C0158326,C0575048
983,C0158334,C0577572
674,C0158352,C0037771
675,C0158352,C0427202
1272,C0158352,C0427201
1273,C0158352,C0586738
1554,C0158352,C0278118
1845,C0158352,C0231438
1846,C0158352,C0231440
1847,C0158352,C0577655
2139,C0158352,C0427055
2140,C0158352,C0575058
378,C0158370,C0587047
676,C0158370,C0577573
677,C0158370,C0343211
2141,C0158940,C0231835
1555,C0158976,C1262535
678,C0159020,C0036572
379,C0159027,C0233193
2142,C0159027,C0521651
2143,C0159027,C1301340
101,C0162281,C0339249
2144,C0162281,C0339250
