rid,disease_cui,symptom_cui
2033,C1704421,C0262977
569,C1719788,C0520966
570,C1719883,C0151726
571,C1720062,C0155004
1741,C1720062,C0233769
1742,C1720062,C0155001
572,C1720077,C0155004
2330,C1720077,C0233769
298,C1720149,C0030193
573,C1720149,C0027796
574,C1720189,C0520966
1153,C1720189,C0007758
879,C1720416,C0520966
1743,C1720571,C0339250
2331,C1735856,C0018681
1744,C1827052,C0018681
2332,C1827190,C0018681
575,C1827250,C0005747
1745,C1827284,C0036572
2034,C1827389,C0036572
880,C1827396,C0037763
2035,C1827396,C0036572
576,C1827624,C0018681
881,C1827629,C0018681
1445,C1827691,C0036572
2036,C1827878,C0036572
2037,C1827966,C0018681
577,C1827974,C0036572
882,C1827983,C0018681
578,C1828175,C0036572
2038,C1834570,C0027066
1446,C1868745,C0012766
1154,C1868889,C0009806
1746,C1959853,C0178422
579,C1959864,C0375229
299,C1959865,C0917799
2333,C1960052,C0020440
883,C1960172,C0577572
884,C1960271,C0018681
580,C1960276,C0011991
1447,C1960544,C0577568
1747,C1960676,C0027066
885,C1960709,C0018681
1748,C1960869,C0042571
2039,C1960870,C0018681
886,C1960877,C0027066
1155,C1961123,C0375226
887,C1971624,C0426579
2334,C1971624,C0426583
300,C1971759,C0020450
2040,C1971759,C0312416
2335,C1996989,C0011991
1749,C1997249,C0030193
888,C1997440,C0587242
889,C1997771,C0020440
2041,C1997918,C0159057
1448,C1998127,C2919424
301,C1998254,C0027066
581,C1998392,C0159057
1156,C2004401,C0343211
2336,C2004411,C0040460
1750,C2004435,C1280008
2337,C2004487,C0037763
1751,C2035047,C0036572
1157,C2158436,C0424853
890,C2239278,C1260880
891,C2242981,C0155004
2042,C2242981,C0233769
582,C2267233,C0026827
1752,C2267233,C0343239
1158,C2315264,C0009806
2043,C2315519,C0028961
1159,C2315536,C0838227
583,C2316074,C0587243
1449,C2316225,C0018681
584,C2316708,C0009806
2044,C2316756,C0751295
1753,C2349425,C0018681
1450,C2363129,C0036572
892,C2363423,C0343239
302,C2584703,C0333252
303,C2711086,C0007942
1754,C2711235,C0878706
304,C2711445,C0333228
2338,C2711653,C0036572
1451,C2711736,C0036572
1452,C2711743,C0027066
893,C2733582,C1282194
2339,C2919482,C0333243
2045,C2919600,C0232503
1755,C2919641,C0159064
585,C2919725,C0401020
586,C2919725,C0159065
587,C2919808,C0577561
2046,C2919808,C0577572
588,C2919930,C0476303
1160,C2937217,C0577562
1161,C2939435,C0232593
894,C2959492,C0558920
1162,C2959494,C0577561
895,C2959868,C0587050
305,C2960037,C0577569
1163,C2960037,C0240715
2047,C2960211,C0587047
1164,C2960290,C0240007
306,C2960306,C0577566
589,C2960451,C0577561
590,C2960589,C0577566
2048,C2960744,C0577561
1165,C2960769,C0577572
1756,C2980106,C0033774
1453,C2980107,C0033774
2049,C2981137,C0036572
896,C3164057,C0577563
1757,C3164623,C0577563
1166,C3245524,C0159043
2050,C3247203,C0041834
307,C3249881,C0264272
591,C3263719,C0577560
1454,C3266099,C0577294
897,C3266155,C0030193
2340,C3266155,C0000737
