DOID:0050817	OMIM:248200
DOID:0050817	OMIM:600110
DOID:0050817	OMIM:603786
DOID:0050818	OMIM:275350
DOID:0050831	OMIM:604218
DOID:0050833	OMIM:258900
DOID:0050834	OMIM:214800
DOID:0050848	OMIM:107650
DOID:0050854	OMIM:191900
DOID:0050857	OMIM:233400
DOID:0050857	OMIM:614129
DOID:0050857	OMIM:614926
DOID:0050857	OMIM:615300
DOID:0050857	OMIM:PS233400
DOID:0050858	OMIM:602535
DOID:0050873	OMIM:151430
DOID:0050877	OMIM:260370
DOID:0050879	OMIM:300623
DOID:0050880	OMIM:610443
DOID:0050881	OMIM:PS167320
DOID:0050882	OMIM:600224
DOID:0050883	OMIM:614559
DOID:0050884	OMIM:615512
DOID:0050885	OMIM:614732
DOID:0050886	OMIM:275900
DOID:0050887	OMIM:107480
DOID:0050902	OMIM:155255
DOID:0050908	OMIM:614286
DOID:0050909	OMIM:137245
DOID:0050925	OMIM:114900
DOID:0050941	OMIM:611302
DOID:0050942	OMIM:611390
DOID:0050943	OMIM:613672
DOID:0050944	OMIM:614487
DOID:0050945	OMIM:108650
DOID:0050946	OMIM:270550
DOID:0050947	OMIM:241530
DOID:0050948	OMIM:193100
DOID:0050949	OMIM:241520
DOID:0050949	OMIM:613312
DOID:0050950	OMIM:PS213200
DOID:0050954	OMIM:164400
DOID:0050955	OMIM:183090
DOID:0050956	OMIM:183086
DOID:0050957	OMIM:600223
DOID:0050958	OMIM:164500
DOID:0050959	OMIM:608768
DOID:0050960	OMIM:603516
DOID:0050961	OMIM:604432
DOID:0050962	OMIM:604326
DOID:0050963	OMIM:605259
DOID:0050964	OMIM:605361
DOID:0050965	OMIM:606658
DOID:0050967	OMIM:607136
DOID:0050968	OMIM:604121
DOID:0050969	OMIM:607458
DOID:0050970	OMIM:607346
DOID:0050971	OMIM:608687
DOID:0050972	OMIM:607454
DOID:0050973	OMIM:610245
DOID:0050974	OMIM:608703
DOID:0050975	OMIM:609306
DOID:0050976	OMIM:193003
DOID:0050977	OMIM:610246
DOID:0050978	OMIM:117360
DOID:0050979	OMIM:613371
DOID:0050980	OMIM:117210
DOID:0050981	OMIM:133190
DOID:0050982	OMIM:613908
DOID:0050983	OMIM:614153
DOID:0050984	OMIM:615945
DOID:0050985	OMIM:615957
DOID:0050986	OMIM:616053
